0.2875 	WARNING 	Movie2 stim could not be imported and won't be available
1188.2505 	DATA 	Keypress: t
1190.5009 	DATA 	Keypress: t
1192.8003 	DATA 	Keypress: t
1195.0501 	DATA 	Keypress: t
1197.3501 	DATA 	Keypress: t
1199.6000 	DATA 	Keypress: t
1201.8605 	DATA 	Keypress: t
1204.1499 	DATA 	Keypress: t
1206.4043 	DATA 	Keypress: t
1208.6997 	DATA 	Keypress: t
1210.9496 	DATA 	Keypress: t
1213.2496 	DATA 	Keypress: t
1215.4994 	DATA 	Keypress: t
1217.7640 	DATA 	Keypress: t
1220.0492 	DATA 	Keypress: t
1222.3077 	DATA 	Keypress: t
1224.5991 	DATA 	Keypress: t
1226.8517 	DATA 	Keypress: t
1229.1490 	DATA 	Keypress: t
1231.3988 	DATA 	Keypress: t
1233.6988 	DATA 	Keypress: t
1235.9488 	DATA 	Keypress: t
1238.2111 	DATA 	Keypress: t
1240.4985 	DATA 	Keypress: t
1242.7560 	DATA 	Keypress: t
1245.0485 	DATA 	Keypress: t
1247.2999 	DATA 	Keypress: t
1249.5984 	DATA 	Keypress: t
1251.8482 	DATA 	Keypress: t
1254.1482 	DATA 	Keypress: t
1256.3979 	DATA 	Keypress: t
1258.6595 	DATA 	Keypress: t
1260.9479 	DATA 	Keypress: t
1263.2033 	DATA 	Keypress: t
1265.4976 	DATA 	Keypress: t
1267.7476 	DATA 	Keypress: t
1270.0476 	DATA 	Keypress: t
1272.2974 	DATA 	Keypress: t
1274.5629 	DATA 	Keypress: t
1276.8473 	DATA 	Keypress: t
1279.1067 	DATA 	Keypress: t
1281.3971 	DATA 	Keypress: t
1283.6505 	DATA 	Keypress: t
1285.9471 	DATA 	Keypress: t
1288.1969 	DATA 	Keypress: t
1290.4969 	DATA 	Keypress: t
1292.7466 	DATA 	Keypress: t
1295.0102 	DATA 	Keypress: t
1297.2965 	DATA 	Keypress: t
1299.5540 	DATA 	Keypress: t
1301.8464 	DATA 	Keypress: t
1304.0979 	DATA 	Keypress: t
1306.3963 	DATA 	Keypress: t
1308.6461 	DATA 	Keypress: t
1310.9462 	DATA 	Keypress: t
1313.1961 	DATA 	Keypress: t
1315.4575 	DATA 	Keypress: t
1317.7458 	DATA 	Keypress: t
1320.0014 	DATA 	Keypress: t
1322.2957 	DATA 	Keypress: t
1324.5461 	DATA 	Keypress: t
1326.8455 	DATA 	Keypress: t
1329.0954 	DATA 	Keypress: t
1331.3955 	DATA 	Keypress: t
1333.6453 	DATA 	Keypress: t
1335.9059 	DATA 	Keypress: t
1338.1951 	DATA 	Keypress: t
1340.4495 	DATA 	Keypress: t
1342.7450 	DATA 	Keypress: t
1344.9949 	DATA 	Keypress: t
1347.2949 	DATA 	Keypress: t
1349.5447 	DATA 	Keypress: t
1351.8094 	DATA 	Keypress: t
1354.0946 	DATA 	Keypress: t
1356.3529 	DATA 	Keypress: t
1358.6444 	DATA 	Keypress: t
1360.8969 	DATA 	Keypress: t
1363.1943 	DATA 	Keypress: t
1365.4442 	DATA 	Keypress: t
1367.7442 	DATA 	Keypress: t
1369.9939 	DATA 	Keypress: t
1372.2564 	DATA 	Keypress: t
1374.5438 	DATA 	Keypress: t
1376.8003 	DATA 	Keypress: t
1379.0938 	DATA 	Keypress: t
1381.3442 	DATA 	Keypress: t
1383.6436 	DATA 	Keypress: t
1385.8934 	DATA 	Keypress: t
1388.1934 	DATA 	Keypress: t
1390.4433 	DATA 	Keypress: t
1392.7037 	DATA 	Keypress: t
1394.9930 	DATA 	Keypress: t
1397.2486 	DATA 	Keypress: t
1399.5430 	DATA 	Keypress: t
1401.7928 	DATA 	Keypress: t
1404.0929 	DATA 	Keypress: t
1406.3427 	DATA 	Keypress: t
1408.6082 	DATA 	Keypress: t
1410.8925 	DATA 	Keypress: t
1413.1520 	DATA 	Keypress: t
1415.4424 	DATA 	Keypress: t
1417.6959 	DATA 	Keypress: t
1419.9923 	DATA 	Keypress: t
1422.2421 	DATA 	Keypress: t
1424.5422 	DATA 	Keypress: t
1426.7920 	DATA 	Keypress: t
1429.0555 	DATA 	Keypress: t
1431.3418 	DATA 	Keypress: t
1433.5993 	DATA 	Keypress: t
1435.8916 	DATA 	Keypress: t
1438.1431 	DATA 	Keypress: t
1440.4415 	DATA 	Keypress: t
1442.6914 	DATA 	Keypress: t
1444.9914 	DATA 	Keypress: t
1447.2412 	DATA 	Keypress: t
1449.5027 	DATA 	Keypress: t
1451.7911 	DATA 	Keypress: t
1454.0466 	DATA 	Keypress: t
1456.3411 	DATA 	Keypress: t
1458.5908 	DATA 	Keypress: t
1460.8908 	DATA 	Keypress: t
1463.1407 	DATA 	Keypress: t
1465.4062 	DATA 	Keypress: t
1467.6905 	DATA 	Keypress: t
1469.9500 	DATA 	Keypress: t
1472.2403 	DATA 	Keypress: t
1474.4940 	DATA 	Keypress: t
1476.7904 	DATA 	Keypress: t
1479.0401 	DATA 	Keypress: t
1481.3401 	DATA 	Keypress: t
1483.5899 	DATA 	Keypress: t
1485.8544 	DATA 	Keypress: t
1488.1398 	DATA 	Keypress: t
1490.3983 	DATA 	Keypress: t
1492.6897 	DATA 	Keypress: t
1494.9422 	DATA 	Keypress: t
1497.2395 	DATA 	Keypress: t
1499.4895 	DATA 	Keypress: t
1501.7894 	DATA 	Keypress: t
1504.0394 	DATA 	Keypress: t
1506.3018 	DATA 	Keypress: t
1508.5890 	DATA 	Keypress: t
1510.8456 	DATA 	Keypress: t
1513.1390 	DATA 	Keypress: t
1515.3894 	DATA 	Keypress: t
1517.6888 	DATA 	Keypress: t
1519.9387 	DATA 	Keypress: t
1522.2386 	DATA 	Keypress: t
1524.4885 	DATA 	Keypress: t
1526.7490 	DATA 	Keypress: t
1529.0384 	DATA 	Keypress: t
1531.2928 	DATA 	Keypress: t
1533.5882 	DATA 	Keypress: t
1535.8381 	DATA 	Keypress: t
1538.1381 	DATA 	Keypress: t
1540.3879 	DATA 	Keypress: t
1542.6525 	DATA 	Keypress: t
1544.9379 	DATA 	Keypress: t
1547.1962 	DATA 	Keypress: t
1549.4876 	DATA 	Keypress: t
1551.7403 	DATA 	Keypress: t
1554.0376 	DATA 	Keypress: t
1556.2873 	DATA 	Keypress: t
1558.5873 	DATA 	Keypress: t
